Sector Zone,VT,Property Name,Property Address,Proposed Used,Available Unit,Size,Gross Rate,Gross
CBD - Shenton Way,No,SGX Centre 2,4 Shenton Way Singapore 068807,Office,TBA,4800.00,9.50,45600.00
CBD - Raffles Place,No,Samsung Hub,3 Church Street Singapore 049483,Office,#10-01.04,6000.00,10.50,63000.00
River Valley,No,Valley Point Office Tower,491 River Valley Road Singapore 248371,Office,TBA,10366.00,7.50,77745.00
CBD - Tanjong Pagar,No,Craig Road Shophouses,42 Craig Road Singapore 089680,Office,42A #02-01,1360.00,8.46,11500.00
CBD - Raffles Place,No,Capital Square 3,25 Church Street Singapore 049482,Office,#03-04,2799.00,8.00,22392.00
CBD - Raffles Place,No,Capital Square 3,25 Church Street Singapore 049482,Office,#03-01,2960.00,8.00,23680.00
CBD - Raffles Place,No,Capital Square 3,25 Church Street Singapore 049482,Office,#02-01A.B,2056.00,8.00,16448.00
CBD - Tanjong Pagar,No,ABI Plaza,11 Keppel Road Singapore 089057,Office,#10-04,3622.00,8.50,30787.00
CBD - Downtown,No,One Raffles Quay South Tower,1 Raffles Quay Singapore 048583,Office,#27-12,3240.00,14.00,45360.00
CBD - Downtown,No,One Raffles Quay North Tower,1 Raffles Quay Singapore 048583,Office,#23-05,3574.00,14.00,50036.00
CBD - Raffles Place,Yes,Capital Square,23 Church Street Singapore 049481,Office,#14-07.09,5641.00,12.00,67692.00
CBD - Tanjong Pagar,No,Tras Street Shophouses,52 Tras Street Singapore 078991,Office,52 #02-01,1365.00,8.35,11397.75
CBD - Tanjong Pagar,No,Tras Street Shophouses,50 Tras Street Singapore 078989,Office,50A #03-02,575.00,8.35,4800.00
CBD - Clarke Quay,No,Hong Kong Street Buildings,45 Hongkong Street Singapore 059683,Office,#05-01,985.00,8.10,7980.00
Harbourfront,No,Keppel Bay Tower,1 Harbourfront Avenue Singapore 098632,Office,#16-03.04,4714.00,9.00,42426.00
CBD - Clarke Quay,No,Hong Kong Street Buildings,45 Hongkong Street Singapore 059683,Office,#06-01,985.00,8.10,7980.00
CBD - Downtown,No,Asia Square Tower 1,8 Marina View Singapore 018960,Office,TBA,2818.00,14.00,39452.00
East,No,Geylang Road Shophouses,587 Geylang Road Singapore 389526,Office,587B #03-01,726.00,5.37,3900.00
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#04-05,1421.00,5.80,8241.80
CBD - Clarke Quay,No,Hong Kong Street Buildings,45 Hongkong Street Singapore 059683,Office,#04-01,1425.00,8.10,11545.00
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#05-05,1421.00,5.80,8241.80
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#05-05.06,2067.00,5.80,11988.60
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#05-06,646.00,5.80,3746.80
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#10-09,786.00,5.80,4558.80
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#11,9278.00,5.80,53812.40
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#12,9257.00,5.80,53690.60
